CLASS,name,relationType,relatedTo,relationDescription
PROTOTYPE,Mechanical Node,none,none,none
COMPONENT,Bearing,inheritedFrom,Mechanical Node,none
COMPONENT,Journal Bearing,inheritedFrom,Bearing,none
COMPONENT,Journal Bearing,hasPossibleProblem,High Temperature,none
COMPONENT,Journal Bearing,hasPossibleProblem,High Vibration,none
COMPONENT,Journal Bearing,hasMeasurement,Vibration,none
COMPONENT,Journal Bearing,hasMeasurement,Temperature,Metal
COMPONENT,Journal Bearing,hasMeasurement,Temperature,Oil
COMPONENT,Thrust Bearing,inheritedFrom,Journal Bearing,None
COMPONENT,Motor,inheritedFrom,Electrical Node,none
COMPONENT,Motor,inheritedFrom,Mechanical Node,none
COMPONENT,Motor,hasMeasurement,Position,on/off
COMPONENT,Shaft,inheritedFrom,Mechanical Node,none
COMPONENT,Seal,inheritedFrom,Mechanical Node,none
COMPONENT,Housing,inheritedFrom,Mechanical Node,none
COMPONENT,Gearbox,inheritedFrom,Mechanical Node,none
COMPONENT,Drive Coupling,inheritedFrom,Mechanical Node,none
PROTOTYPE,Electrical Node,none,none,none
PROTOTYPE,Pressure Node,none,none,none
COMPONENT,Header,inheritedFrom,Pressure Node,none
COMPONENT,Header,hasMeasurement,Pressure,none
COMPONENT,Header,hasMeasurement,Temperature,none
COMPONENT,Tank,inheritedFrom,Pressure Node,none
COMPONENT,Tank,hasMeasurement,Position,Level
COMPONENT,Tank,hasMeasurement,Temperature,none
PROTOTYPE,Flow Node,none,none,none
COMPONENT,Pipe,inheritedFrom,Flow Node,none
COMPONENT,Valve,inheritedFrom,Flow Node,none
COMPONENT,Control Valve,inheritedFrom,Valve,none
COMPONENT,Control Valve,hasMeasurement,Position,none
COMPONENT,Stop Valve,inheritedFrom,Valve,none
COMPONENT,Stop Valve,hasMeasurement,Position,none
COMPONENT,Control Valve,hasMeasurement,Temperature,Metal
COMPONENT,Stop Valve,hasMeasurement,Temperature,Metal
COMPONENT,Two-Sided Heat Exchanger,inheritedFrom,Flow Node,none
COMPONENT,Two-Sided Heat Exchanger,hasMeasurement,Temperature,Side 1 Inlet
COMPONENT,Two-Sided Heat Exchanger,hasMeasurement,Temperature,Side 1 Outlet
COMPONENT,Two-Sided Heat Exchanger,hasMeasurement,Temperature,Side 2 Inlet
COMPONENT,Two-Sided Heat Exchanger,hasMeasurement,Temperature,Side 2 Outlet
COMPONENT,One-Sided Heat Exchanger,inheritedFrom,Flow Node,none
COMPONENT,One-Sided Heat Exchanger,hasMeasurement,Temperature,Inlet
COMPONENT,One-Sided Heat Exchanger,hasMeasurement,Temperature,Outlet
COMPONENT,Pump,inheritedFrom,Flow Node,none
COMPONENT,Centrifigul Pump,inheritedFrom,Pump,none
COMPONENT,Centrifigul Pump,hasMeasurement,Pressure,Suction
COMPONENT,Centrifigul Pump,hasMeasurement,Pressure,Discharge
MEASUREMENT,Pressure,none,none,none
MEASUREMENT,Temperature,none,none,none
MEASUREMENT,Flowrate,none,none,none
MEASUREMENT,Speed,none,none,none
MEASUREMENT,Position,none,none,none
MEASUREMENT,Vibration,none,none,none
MEASUREMENT,Voltage,none,none,none
MEASUREMENT,Current,none,none,none
MEASUREMENT,Position,none,none,none
COMPONENT,Main Stop Valve,inheritedFrom,Stop Valve,none
COMPONENT,Reheat Stop Valve,inheritedFrom,Stop Valve,none
COMPONENT,Reheat Intercept Valve,inheritedFrom,Stop Valve,none
COMPONENT,Main Control Valve,inheritedFrom,Control Valve,none
COMPONENT,Turning Gear,inheritedFrom,Motor,none
COMPONENT,Steam Turbine Rotor,inheritedFrom,Shaft,none
COMPONENT,Steam Turbine Rotor,assembles,Journal Bearing,#2
COMPONENT,Steam Turbine Rotor,assembles,Journal Bearing,#3
COMPONENT,Steam Turbine Rotor,assembles,Journal Bearing,#4
COMPONENT,Steam Turbine Rotor,assembles,Journal Bearing,#5
COMPONENT,Steam Turbine Rotor,assembles,Journal Bearing,#6
COMPONENT,Steam Turbine Rotor,assembles,Journal Bearing,#7
COMPONENT,Steam Turbine Rotor,assembles,Thrust Bearing,#1
COMPONENT,Steam Turbine Rotor,assembles,Turning Gear,Turning Gear
COMPONENT,Steam Turbine Rotor,hasMeasurement,Position,Eccentricity
COMPONENT,Steam Turbine Rotor,hasMeasurement,Speed,Rotor RPM
